N,Город,Зарплата_в_месяц,Изменение_зарплаты_за_12_месяцев,Должность,exp,current_job_exp,Язык_программирования,Специализация,Возраст,Пол,Образование,Университет,Еще_студент,Уровень_английского,Размер_компании,Тип_компании,Предметная_область
4401,Kyiv,2500,1000,Software Engineer,4.0,0.5,JavaScript,,22,male,Незаконченное высшее,Other вуз,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
4402,Kyiv,2500,0,QA Engineer,8.0,1.0,,Automation QA,36,male,Высшее,ОНАС,False,средний,до 200 человек,Аутсорсинговая,Telecom
4404,Kyiv,2500,0,Software Engineer,2.0,1.0,JavaScript,,30,female,Высшее,ХНУРЭ,False,ниже среднего,до 50 человек,Продуктовая,E-commerce
4408,Kyiv,2500,0,QA Engineer,4.0,1.0,,Automation QA,29,male,Два высших,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Аутстаффинговая,"Cloud Computing, Hardware"
4409,Lviv,2500,200,Software Engineer,3.0,1.0,Java,,22,female,Еще студент,ХНУ [г. Хмельницкий],True,выше среднего,до 1000 человек,Аутсорсинговая,E-commerce
4410,Kyiv,2500,250,Senior Software Engineer,5.0,2.0,PHP,,26,male,Два высших,Other вуз,False,средний,до 50 человек,Продуктовая,"E-commerce, Telecom"
4411,Kyiv,2500,0,Software Engineer,1.0,4.0,C#/.NET,,29,male,Высшее,Other вуз,False,выше среднего,до 200 человек,Продуктовая,Інша
4413,Kyiv,2500,0,Software Engineer,10.0,1.0,C#/.NET,,35,female,Высшее,ДонНУ им. Васыля Стуса,False,средний,до 1000 человек,Продуктовая,Manufacturing
4415,Lviv,2500,1000,Business analyst,4.0,0.0,,,26,female,Высшее,Other вуз,False,продвинутый,до 200 человек,Продуктовая,"E-commerce, ERP"
4416,Kyiv,2500,500,Software Engineer,5.0,0.5,Swift,,44,male,Два высших,ВНТУ,False,ниже среднего,до 50 человек,Продуктовая,"E-commerce, Mobile, Telecom"
4417,Kyiv,2500,200,Software Engineer,6.0,2.0,TypeScript,,27,male,Незаконченное высшее,КНУТД,False,средний,свыше 1000 человек,Аутстаффинговая,"Data Science, ERP, Machine Learning"
4418,Kyiv,2500,500,Junior Software Engineer,3.0,2.0,Swift,,42,male,Высшее,ЖГТУ,False,выше среднего,до 1000 человек,Продуктовая,Media
4419,Kyiv,2500,1500,Project manager,3.0,0.0,,,30,male,Высшее,,False,выше среднего,до 200 человек,Аутсорсинговая,Medtech
4420,Kyiv,2500,1000,Software Engineer,5.0,0.5,JavaScript,,27,male,Высшее,НТУУ «КПИ»,False,ниже среднего,до 50 человек,Продуктовая,Big Data
4422,Kyiv,2500,1100,Designer,4.0,6.0,,,22,female,Среднее,,False,средний,свыше 1000 человек,Продуктовая,"Gambling, Media, Mobile"
4423,Kyiv,2500,150,Software Engineer,5.0,3.0,C#/.NET,,36,male,Высшее,Other вуз,False,выше среднего,до 10 человек,Другая,E-commerce
4424,Kyiv,2500,700,Support,4.0,3.0,,,24,male,Незаконченное высшее,Other вуз,False,продвинутый,до 200 человек,Продуктовая,Telecom
4427,Kyiv,2500,0,Project manager,4.0,2.0,,,27,male,Высшее,НАУ,False,ниже среднего,до 50 человек,Продуктовая,E-commerce
4428,Kyiv,2500,1000,QA Engineer,2.0,0.5,,Automation QA,23,male,Высшее,Other вуз,False,средний,до 50 человек,Продуктовая,"Gambling, GameDev, Security"
4429,Полтава,2500,500,Product Manager,10.0,10.0,,,36,male,Высшее,ВНУ им. Даля,False,выше среднего,до 10 человек,Продуктовая,GameDev
4432,Kyiv,2500,1000,Data Scientist,3.0,2.0,,,23,male,Высшее,НТУУ «КПИ»,False,средний,до 1000 человек,Аутстаффинговая,"Data Science, Machine Learning"
4433,Kharkiv,2500,500,Senior Project manager / Program Manager,5.0,4.0,,,35,female,Высшее,Other вуз,False,средний,до 10 человек,Аутсорсинговая,E-commerce
4434,Kyiv,2500,500,Designer,6.0,1.0,,,28,male,Незаконченное высшее,НАУ,False,выше среднего,до 50 человек,Продуктовая,ERP
4435,Kyiv,2500,500,Business analyst,5.0,0.0,,,30,male,Два высших,КНЭУ,False,выше среднего,до 1000 человек,Продуктовая,Gambling
4437,Dnipro,2500,200,QA Manager,0.5,6.0,,General QA,37,female,Два высших,ДНУ им. Гончара,False,ниже среднего,до 1000 человек,Аутсорсинговая,Інша
4438,Kyiv,2500,0,QA Engineer,5.0,2.0,,Automation QA,33,male,Высшее,,False,средний,до 200 человек,Продуктовая,Automotive
4439,Kyiv,2500,700,Software Engineer,3.0,3.0,C#/.NET,,29,male,Высшее,Other вуз,False,средний,до 50 человек,Аутсорсинговая,E-commerce
4440,Kyiv,2500,0,Software Engineer,4.0,1.0,TypeScript,,23,male,Высшее,НаУКМА,False,выше среднего,до 50 человек,Продуктовая,Media
4441,Kyiv,2500,500,QA Engineer,5.0,0.0,,General QA,27,female,Высшее,НТУУ «КПИ»,False,средний,до 1000 человек,Продуктовая,Інша
4442,Kyiv,2500,700,Software Engineer,2.0,0.5,JavaScript,,35,male,Высшее,НТУУ «КПИ»,False,ниже среднего,до 1000 человек,Продуктовая,Gambling
4443,Kyiv,2500,-1500,Product Owner,10.0,2.0,,,42,male,Два высших,КНЭУ,False,средний,до 50 человек,Аутстаффинговая,Fintech
4444,Kyiv,2500,500,System Analyst,3.0,2.0,,,27,female,Высшее,НУПТ,False,выше среднего,до 200 человек,Аутсорсинговая,Fintech
4446,Kyiv,2500,1500,Software Engineer,2.0,0.5,Python,,29,female,Высшее,НГУ [Dniproопетровск],False,средний,до 200 человек,Стартап,Інша
4447,Kyiv,2500,350,Software Engineer,3.0,1.0,Java,,27,male,Высшее,ЛНУ им. Франко,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Medtech
4450,Kyiv,2500,200,Software Engineer,4.0,4.0,C++,,28,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 1000 человек,Продуктовая,GameDev
4451,Kyiv,2500,500,Business analyst,6.0,0.5,,,30,male,Высшее,НаУКМА,False,выше среднего,до 1000 человек,Продуктовая,Telecom
4452,Kyiv,2500,800,Marketing,9.0,0.25,,,26,female,Незаконченное высшее,,False,выше среднего,до 50 человек,Стартап,Інша
4453,Kyiv,2500,1400,Software Engineer,2.0,0.5,Kotlin,,24,male,Незаконченное высшее,НАУ,False,продвинутый,до 50 человек,Продуктовая,"Internet of Things, Mobile"
4454,Kyiv,2500,400,QA Engineer,4.0,0.0,,Automation QA,27,male,Высшее,Other вуз,False,выше среднего,до 200 человек,Продуктовая,Інша
4460,Dnipro,2500,300,Project manager,7.0,1.0,,,31,female,Высшее,НметАУ,False,выше среднего,до 50 человек,Аутсорсинговая,"E-commerce, Mobile"
4462,Kyiv,2500,1000,Senior Software Engineer,4.0,0.5,Dart,,29,male,Высшее,КНУТД,False,средний,свыше 1000 человек,Аутсорсинговая,Medtech
4465,Kyiv,2500,1000,Software Engineer,2.0,0.5,C#/.NET,,25,male,Высшее,НТУУ «КПИ»,False,ниже среднего,свыше 1000 человек,Аутсорсинговая,Fintech
4466,Kyiv,2500,200,BI Engineer,7.0,6.0,,,28,male,Высшее,ВНТУ,False,средний,до 10 человек,Аутсорсинговая,E-commerce
4467,Kyiv,2500,400,QA Tech Lead,5.0,4.0,,General QA,30,male,Высшее,НТУУ «КПИ»,False,средний,до 50 человек,Продуктовая,Mobile
4468,Kyiv,2500,0,Research Engineer,2.0,0.5,,,23,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,"Data Science, Machine Learning"
4469,Kyiv,2500,500,Software Engineer,3.0,2.0,TypeScript,,27,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутстаффинговая,Інша
4470,Kyiv,2500,0,Senior Software Engineer,6.0,2.0,C#/.NET,,42,male,Высшее,Other вуз,False,средний,до 200 человек,Продуктовая,Інша
4472,Kyiv,2500,500,Software Engineer,6.0,2.0,Java,,36,male,Высшее,НТУУ «КПИ»,False,средний,до 10 человек,Продуктовая,Media
4473,Kyiv,2500,0,Senior QA engineer,6.0,1.0,,Automation QA,33,male,Высшее,Other вуз,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
4478,Kyiv,2500,500,Senior Software Engineer,5.0,1.0,PHP,,34,male,Высшее,ДонНТУ,False,ниже среднего,до 50 человек,Продуктовая,"E-commerce, Fintech"
4480,Kharkiv,2500,150,QA Engineer,8.0,3.0,,Manual QA,35,female,Высшее,ХАИ,False,продвинутый,до 50 человек,Аутстаффинговая,"E-commerce, Mobile"
4481,Kyiv,2500,500,Software Engineer,4.0,0.25,C++,,31,male,Высшее,НУПТ,False,элементарный,свыше 1000 человек,Аутсорсинговая,Automotive
4482,Kyiv,2500,150,Product Owner,6.0,6.0,,,32,male,Высшее,КНУ им. Шевченко,False,продвинутый,до 1000 человек,Продуктовая,Fintech
4483,Kyiv,2500,500,Team/Technical Lead,10.0,10.0,TypeScript,,33,male,Высшее,НТУУ «КПИ»,False,средний,до 1000 человек,Продуктовая,Telecom
4484,Lviv,2500,650,Software Engineer,4.0,3.0,C#/.NET,,27,female,Высшее,ДНУ им. Гончара,False,выше среднего,до 10 человек,Аутсорсинговая,E-commerce
4485,Kharkiv,2500,450,Software Engineer,5.0,5.0,JavaScript,,26,female,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Media, Telecom"
4486,Kyiv,2500,500,Project manager,6.0,2.0,,,30,female,Высшее,Other вуз,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Telecom
4487,Kyiv,2500,0,Senior QA engineer,7.0,2.0,,Manual QA,29,male,Высшее,СумГУ,False,выше среднего,до 50 человек,Аутстаффинговая,Telecom
4488,Kyiv,2500,400,Senior QA engineer,8.0,4.0,,General QA,34,male,Высшее,ГУТ,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Internet of Things
4490,Kyiv,2500,-500,Software Engineer,6.0,3.0,SQL,,26,male,Высшее,КНЭУ,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
4491,Kyiv,2500,400,QA Engineer,3.0,1.0,,Automation QA,23,female,Высшее,НаУКМА,False,выше среднего,свыше 1000 человек,Продуктовая,Embedded
4492,Запорожье,2500,200,Senior Software Engineer,10.0,1.0,C#/.NET,,35,female,Высшее,ЗНТУ,False,выше среднего,до 10 человек,Стартап,Big Data
4494,Kyiv,2500,1200,Software Engineer,3.0,0.5,PHP,,29,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,Fintech
4495,Kyiv,2500,500,Software Engineer,3.0,1.0,TypeScript,,23,male,Незаконченное высшее,НТУУ «КПИ»,False,ниже среднего,свыше 1000 человек,Продуктовая,Logistics
4496,Kyiv,2500,1000,Software Engineer,5.0,0.5,Kotlin,,23,male,Среднее,НУПТ,False,средний,до 10 человек,Продуктовая,Mobile
4497,Kyiv,2500,500,Scrum Master,3.0,1.0,,,29,female,Высшее,Other вуз,False,выше среднего,до 200 человек,Продуктовая,"Medtech, Telecom"
4499,Kyiv,2500,500,Senior QA engineer,3.0,3.0,,General QA,25,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Продуктовая,E-commerce
4500,Kyiv,2490,690,Software Engineer,3.0,3.0,Java,,28,male,Два высших,Other вуз,False,средний,свыше 1000 человек,Аутсорсинговая,Travel
4501,Kyiv,2490,225,Software Engineer,7.0,4.0,Other,,32,male,Высшее,Other вуз,False,выше среднего,до 200 человек,Аутсорсинговая,ERP
4502,Kharkiv,2490,300,Senior QA engineer,8.0,8.0,,General QA,34,female,Кандидат,ХНУ им. Каразина,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Media
4503,Lviv,2470,670,Senior QA engineer,5.0,0.5,,Manual QA,29,female,Незаконченное высшее,ОНУ им. Мечникова,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Mobile
4504,Чернигов,2470,1470,DevOps,7.0,0.25,,,29,male,Высшее,ЧНТУ,False,средний,свыше 1000 человек,Аутстаффинговая,Інша
4505,Odessa,2470,470,Business analyst,6.0,3.0,,,30,female,Высшее,ОНУ им. Мечникова,False,продвинутый,свыше 1000 человек,Аутсорсинговая,"Blockchain, Fintech, Gambling"
4506,Kyiv,2470,900,Senior Software Engineer,3.0,3.0,C#/.NET,,26,male,Высшее,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Automotive
4507,Kyiv,2470,1300,Software Engineer,2.0,2.0,C#/.NET,,28,male,Высшее,Other вуз,False,средний,свыше 1000 человек,Аутстаффинговая,Інша
4510,Kharkiv,2450,0,Senior Software Engineer,4.0,2.0,Python,,28,female,Два высших,ХНУ им. Каразина,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Cloud Computing, Hardware"
4515,Kyiv,2450,600,Product Owner,3.0,5.0,,,27,male,Высшее,КНЭУ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Embedded, Medtech"
4516,Kyiv,2450,850,Senior QA engineer,4.0,1.0,,General QA,23,male,Высшее,ГУТ,False,выше среднего,до 10 человек,Продуктовая,Mobile
4518,Lviv,2450,1000,Business analyst,3.0,3.0,,,27,female,Высшее,НаУКМА,False,продвинутый,до 200 человек,Аутсорсинговая,"Fintech, Mobile"
4520,Kyiv,2450,450,Data Analyst,7.0,2.0,,,29,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,Adtech
4523,Kyiv,2450,600,Software Engineer,4.0,4.0,C#/.NET,,24,male,Высшее,НАУ,False,средний,до 50 человек,Аутсорсинговая,"Cloud Computing, E-commerce, Інша"
4525,Kyiv,2450,1450,Software Engineer,1.0,0.5,JavaScript,,27,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутстаффинговая,"Logistics, Medtech"
4527,Kyiv,2430,0,Senior Software Engineer,10.0,5.0,C++,,37,male,Высшее,КНУ им. Шевченко,False,средний,до 50 человек,Аутсорсинговая,"High Load Systems, Media, Інша"
4529,Kyiv,2420,220,Software Engineer,3.0,1.0,PHP,,27,male,Высшее,Other вуз,False,ниже среднего,до 50 человек,Аутсорсинговая,Gambling
4530,Kyiv,2415,200,Team/Technical Lead,7.0,4.0,APL,,26,male,Высшее,ДНУ им. Гончара,False,выше среднего,до 1000 человек,Продуктовая,Fintech
4532,Kyiv,2400,500,Software Engineer,1.0,0.5,Java,,33,male,Два высших,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,GameDev
4534,Kyiv,2400,400,Designer,5.0,0.5,,,31,male,Высшее,Other вуз,False,средний,свыше 1000 человек,Продуктовая,"E-commerce, Media, Mobile"
4535,Kyiv,2400,400,Software Engineer,4.0,1.0,TypeScript,,23,male,Высшее,Other вуз,False,выше среднего,до 200 человек,Продуктовая,E-commerce
4540,Kyiv,2400,0,Project manager,4.0,2.0,,,31,male,Два высших,Other вуз,False,продвинутый,до 1000 человек,Аутсорсинговая,Automotive
4541,Kyiv,2400,1000,DevOps,3.0,1.0,,,77,male,Высшее,Other вуз,False,выше среднего,до 50 человек,Продуктовая,"Fintech, Travel"
4542,Kyiv,2400,0,Team/Technical Lead,4.0,2.0,JavaScript,,24,male,Высшее,СумГУ,False,средний,до 50 человек,Продуктовая,E-commerce
4543,Kyiv,2400,500,Project manager,6.0,6.0,,,27,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутсорсинговая,Blockchain
4550,Kyiv,2400,1700,Software Engineer,3.0,0.0,PHP,,24,male,Высшее,НАУ,False,ниже среднего,до 1000 человек,Продуктовая,E-commerce
4554,Kyiv,2400,1800,QA Engineer,3.0,0.0,,Manual QA,32,female,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"ERP, Fintech"
4556,Kyiv,2400,200,Software Engineer,3.0,2.0,TypeScript,,25,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 10 человек,Продуктовая,Gambling
4557,Kyiv,2400,285,QA Engineer,9.0,9.0,,Automation QA,32,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,Telecom
4558,Запорожье,2400,0,HR,8.0,0.5,,,30,female,Высшее,Other вуз,False,ниже среднего,свыше 1000 человек,Продуктовая,"Adtech, Fintech, GameDev"
4559,Kyiv,2400,1200,Software Engineer,3.0,1.0,JavaScript,,25,male,Высшее,ВНТУ,False,средний,до 50 человек,Аутсорсинговая,"Blockchain, Fintech, Internet of Things"
4561,Kyiv,2400,500,Technical writer,4.0,2.0,,,39,male,Два высших,Other вуз,False,продвинутый,свыше 1000 человек,Аутсорсинговая,"Security, Інша"
4562,Kyiv,2400,900,Business analyst,2.0,2.0,,,34,female,Высшее,Other вуз,False,выше среднего,до 1000 человек,Аутсорсинговая,Cloud Computing
4563,Kyiv,2400,1200,Scrum Master,2.0,0.25,,,31,male,Высшее,ХАИ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Geospatial, Logistics, Інша"
4564,Kyiv,2400,1200,Software Engineer,3.0,0.25,Python,,23,male,Высшее,КНУ им. Шевченко,False,продвинутый,свыше 1000 человек,Продуктовая,E-commerce
4565,Lviv,2400,-200,DevOps,5.0,1.0,,,35,male,Высшее,Other вуз,False,ниже среднего,свыше 1000 человек,Аутсорсинговая,"Automotive, Fintech, Logistics"
4567,Kyiv,2400,1050,Software Engineer,3.0,0.5,JavaScript,,33,female,Высшее,ДонНТУ,False,средний,до 50 человек,Аутсорсинговая,Insurance
4568,Kyiv,2400,1000,Software Engineer,3.0,1.0,Swift,,26,male,Высшее,ЧГУ им. Петра Могилы,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Fintech, Mobile"
4571,Kyiv,2400,400,Software Engineer,4.0,2.0,JavaScript,,24,male,Незаконченное высшее,НТУУ «КПИ»,False,средний,до 50 человек,Продуктовая,Telecom
4573,Kyiv,2400,300,Software Engineer,3.0,2.0,Java,,30,male,Высшее,НУПТ,False,средний,свыше 1000 человек,Аутсорсинговая,Інша
4575,Kyiv,2400,200,Data Scientist,3.0,2.0,,,32,female,Высшее,НаУКМА,False,выше среднего,до 1000 человек,Продуктовая,"Data Science, GameDev"
4576,Kyiv,2400,1000,Senior QA engineer,4.0,1.0,,Manual QA,29,male,Высшее,ДНУЖТ,False,средний,свыше 1000 человек,Продуктовая,"Gambling, GameDev"
4578,Kyiv,2400,200,QA Engineer,6.0,3.0,,Manual QA,30,female,Высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Аутсорсинговая,Manufacturing
4580,Kharkiv,2400,800,Software Engineer,4.0,0.0,JavaScript,,25,female,Высшее,ХНУРЭ,False,выше среднего,до 50 человек,Продуктовая,Gambling
4581,Kyiv,2400,200,Data Scientist,3.0,1.0,,,24,female,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,Gambling
4582,Kyiv,2400,600,Software Engineer,3.0,3.0,C#/.NET,,39,male,Высшее,Other вуз,False,средний,до 10 человек,Продуктовая,"E-commerce, Travel"
4584,Kyiv,2400,1200,DevOps,4.0,0.5,,,25,female,Незаконченное высшее,ХНУ [г. Хмельницкий],False,продвинутый,свыше 1000 человек,Аутсорсинговая,"Adtech, Fintech, Machine Learning"
4586,Kyiv,2400,-400,Software Engineer,6.0,0.5,JavaScript,,28,male,Высшее,Other вуз,False,средний,до 50 человек,Продуктовая,Fintech
4589,Lviv,2400,0,Software Engineer,10.0,3.0,PHP,,40,female,Высшее,ЗНТУ,False,средний,свыше 1000 человек,Аутсорсинговая,E-commerce
4593,Kyiv,2400,800,Software Engineer,4.0,0.5,PHP,,27,male,Высшее,НАУ,False,выше среднего,до 50 человек,Продуктовая,GameDev
4594,Kharkiv,2400,100,Business analyst,4.0,9.0,,,33,female,Высшее,ХНУ им. Каразина,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Insurance
4595,Kyiv,2400,200,QA Engineer,7.0,2.0,,Automation QA,34,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Аутсорсинговая,Fintech
4596,Lviv,2400,400,Project manager,4.0,2.0,,,27,female,Высшее,ХНУ [г. Хмельницкий],False,продвинутый,до 50 человек,Аутсорсинговая,E-commerce
4597,Kyiv,2400,600,Software Engineer,6.0,2.0,Scala,,29,male,Высшее,НаУКМА,False,средний,до 1000 человек,Продуктовая,Media
4600,Kyiv,2400,0,DevOps,5.0,5.0,,,31,male,Высшее,ДонНТУ,False,выше среднего,свыше 1000 человек,Продуктовая,"GameDev, Mobile"
4601,Kyiv,2400,800,Software Engineer,6.0,0.0,C#/.NET,,32,male,Высшее,Other вуз,False,средний,до 1000 человек,Аутстаффинговая,Media
4602,Kyiv,2400,800,QA Engineer,3.0,0.0,,General QA,34,male,Кандидат,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,"Agriculture, Automotive, Hardware"
4604,Kharkiv,2400,300,HR,5.0,4.0,,,26,female,Высшее,Other вуз,False,средний,до 1000 человек,Продуктовая,GameDev
4606,Kyiv,2400,600,Project manager,4.0,0.0,,,39,male,Два высших,Other вуз,False,выше среднего,свыше 1000 человек,Продуктовая,"Data Science, Gambling, GameDev"
4607,Kharkiv,2400,100,Senior Software Engineer,5.0,0.5,JavaScript,,36,female,Высшее,Other вуз,False,средний,до 200 человек,Аутстаффинговая,"Blockchain, E-commerce, Travel"
4608,Kyiv,2400,400,Team/Technical Lead,4.0,2.0,Python,,24,male,Высшее,НТУУ «КПИ»,False,средний,до 50 человек,Продуктовая,Geospatial
4609,Kyiv,2400,200,Senior QA engineer,9.0,0.0,,Manual QA,32,female,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Продуктовая,GameDev
4610,Kyiv,2400,1300,Software Engineer,4.0,3.0,JavaScript,,25,male,Высшее,НТУУ «КПИ»,False,средний,до 50 человек,Аутстаффинговая,"E-commerce, High Load Systems"
4611,Kyiv,2400,1000,Data Scientist,3.0,2.0,,,25,female,Высшее,,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Data Science
4612,Kyiv,2400,300,Senior QA engineer,5.0,2.0,,General QA,33,male,Высшее,ДонНТУ,False,выше среднего,свыше 1000 человек,Аутстаффинговая,ERP
4614,Uzhorod,2400,800,Senior QA engineer,5.0,0.25,,General QA,32,female,Высшее,Other вуз,False,средний,до 50 человек,Продуктовая,Інша
4615,Kyiv,2400,200,QA Engineer,5.0,2.0,,Manual QA,27,female,Высшее,КНЭУ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Інша
4616,Kyiv,2400,600,DevOps,9.0,2.0,,,31,male,Среднее,,False,средний,свыше 1000 человек,Продуктовая,"Media, Mobile, Інша"
4617,Dnipro,2400,400,Senior Software Engineer,6.0,0.5,TypeScript,,28,female,Высшее,ДНУ им. Гончара,False,выше среднего,до 10 человек,Аутстаффинговая,Інша
4618,Odessa,2400,500,Business analyst,9.0,3.0,,,30,female,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Travel
4621,Kyiv,2400,900,QA Engineer,3.0,1.0,,Automation QA,33,male,Высшее,Lvivская Политехника,False,ниже среднего,до 1000 человек,Продуктовая,Security
4622,Kyiv,2400,300,QA Engineer,5.0,5.0,,General QA,40,male,Высшее,КНЭУ,False,элементарный,до 200 человек,Продуктовая,Gambling
4623,Kyiv,2400,500,Senior Software Engineer,6.0,5.0,C#/.NET,,25,female,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Telecom
4624,Kyiv,2400,400,Software Engineer,4.0,0.5,JavaScript,,23,male,Среднее,,False,ниже среднего,свыше 1000 человек,Аутстаффинговая,E-commerce
4625,Kyiv,2400,500,Software Engineer,4.0,2.0,C#/.NET,,24,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутстаффинговая,Інша
4626,Kyiv,2400,300,Product Owner,4.0,4.0,,,34,male,Высшее,,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Інша
4627,Kyiv,2400,0,DevOps,0.5,2.0,,,33,male,Высшее,ДНУЖТ,False,продвинутый,до 10 человек,Продуктовая,Blockchain
4628,Kyiv,2400,500,Senior QA engineer,4.0,4.0,,General QA,26,male,Высшее,НТУУ «КПИ»,False,средний,до 1000 человек,Аутсорсинговая,"E-commerce, Logistics"
4630,Kyiv,2400,900,Software Engineer,4.0,0.0,C#/.NET,,23,male,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Аутсорсинговая,"AR/VR, GameDev, Mobile"
4632,Kyiv,2400,200,Team/Technical Lead,10.0,10.0,JavaScript,,32,male,Высшее,Other вуз,False,средний,до 10 человек,Другая,E-commerce
4633,Kyiv,2400,1300,Project manager,4.0,0.5,,,40,male,Высшее,ДонНТУ,False,продвинутый,до 200 человек,Аутстаффинговая,E-commerce
4635,Kyiv,2400,400,Designer,5.0,0.25,,,29,male,Высшее,Other вуз,False,выше среднего,до 200 человек,Аутсорсинговая,"E-commerce, Media, Mobile"
4636,Kyiv,2400,200,Software Engineer,3.0,2.0,C#/.NET,,24,male,Высшее,КНУ им. Шевченко,False,средний,до 1000 человек,Продуктовая,Fintech
4637,Lviv,2400,2000,Designer,4.0,1.0,,,28,female,Высшее,Other вуз,False,выше среднего,до 200 человек,Аутсорсинговая,"AR/VR, Machine Learning, Mobile"
4638,Dnipro,2400,400,DevOps,6.0,2.0,,,30,female,Высшее,ДНУ им. Гончара,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Fintech
4639,Kyiv,2400,600,Software Engineer,3.0,1.0,JavaScript,,23,male,Высшее,ОНПУ,False,средний,до 200 человек,Продуктовая,Telecom
4641,Kyiv,2400,200,Software Engineer,5.0,2.0,PHP,,31,male,Высшее,КНУСА,False,элементарный,до 1000 человек,Продуктовая,Adtech
4642,Kyiv,2400,0,DevOps,2.0,1.0,,,28,male,Высшее,СумГУ,False,ниже среднего,до 50 человек,Аутсорсинговая,E-commerce
4645,Kyiv,2400,1000,Software Engineer,2.0,2.0,JavaScript,,26,male,Высшее,КНЭУ,False,продвинутый,свыше 1000 человек,Аутсорсинговая,E-commerce
4646,Kyiv,2400,500,Senior QA engineer,5.0,2.0,,Manual QA,26,male,Высшее,НАУ,False,ниже среднего,до 200 человек,Продуктовая,Edtech
4647,Kyiv,2400,400,Software Engineer,3.0,1.0,C#/.NET,,22,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,"Cloud Computing, Fintech, High Load Systems"
4649,Other,2400,0,QA Tech Lead,8.0,6.0,,Manual QA,29,female,Высшее,НТУ «ХПИ»,False,выше среднего,до 1000 человек,Продуктовая,Fintech
4650,Lviv,2400,400,Business analyst,2.0,0.5,,,25,female,Высшее,ЛНУ им. Франко,False,выше среднего,до 200 человек,Аутсорсинговая,Insurance
4651,Kyiv,2400,800,Software Engineer,4.0,1.0,PHP,,32,male,Высшее,ДонНТУ,False,средний,до 200 человек,Аутстаффинговая,Travel
4653,Kyiv,2375,0,SysAdmin,10.0,5.0,,,36,male,Высшее,КНУ им. Шевченко,False,средний,до 10 человек,Другая,Media
4656,Kharkiv,2375,0,Software Engineer,5.0,3.0,TypeScript,,26,female,Высшее,ХНУРЭ,False,выше среднего,до 50 человек,Аутсорсинговая,Інша
4657,Kyiv,2375,-500,Senior QA engineer,7.0,0.0,,Manual QA,33,male,Высшее,ВНУ им. Даля,False,средний,до 50 человек,Продуктовая,"Gambling, Mobile"
4658,Kyiv,2375,675,Support,6.0,0.25,,,33,female,Высшее,НаУКМА,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Fintech
4659,Kyiv,2375,0,Senior QA engineer,10.0,9.0,,Manual QA,42,male,Незаконченное высшее,Other вуз,False,продвинутый,свыше 1000 человек,Аутсорсинговая,"Automotive, Internet of Things"
